game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
567561674,JP1_567561674,Karthus,senzawa#JP1,13,9,14,21,30,16750,16.4,2026-02-26 15:00 JST,16.9
567566014,JP1_567566014,Fizz,すやひめ#15ff,0,0,0,0,0,515,16.4,2026-02-26 15:31 JST,16.3
567570975,JP1_567570975,Viego,senzawa#JP1,15,5,7,22,21,17475,16.4,2026-02-26 16:24 JST,15.5
567577125,JP1_567577125,Shaco,くるみかん#123,3,1,5,13,26,11098,16.4,2026-02-26 16:59 JST,14.9
567580353,JP1_567580353,Zaahen,Dopaminw#OUI,12,5,17,33,58,16681,16.4,2026-02-26 17:28 JST,14.4
567594040,JP1_567594040,Evelynn,senzawa#JP1,10,0,2,9,14,8246,16.4,2026-02-26 19:04 JST,12.8
567624584,JP1_567624584,Evelynn,senzawa#JP1,3,2,9,11,27,12119,16.4,2026-02-26 21:42 JST,10.2
567640653,JP1_567640653,Karthus,senzawa#JP1,12,7,19,28,16,15488,16.4,2026-02-26 22:37 JST,9.2
567645590,JP1_567645590,Taliyah,定风波#520,5,4,10,46,42,15609,16.4,2026-02-26 22:53 JST,9.0
567660367,JP1_567660367,Taliyah,定风波#520,7,5,9,53,50,16075,16.4,2026-02-26 23:43 JST,8.1
