rank,player,role,lp,wins,losses,win_rate
1,sign#520am,SUP,1569,189,115,62.2%
2,AKALIKING#本体はゼド,MID,1562,96,55,63.6%
3,鉄砲玉#JP1,TOP,1505,150,110,57.7%
4,天狐ハク#戀慕之情,MID,1454,154,91,62.9%
5,無愛想#可愛くない,TOP,1443,116,62,65.2%
6,Mokurooo#NKG,ADC,1360,109,68,61.6%
7,Asuki#JP1,ADC,1305,118,86,57.8%
8,かなう#burin,TOP,1303,100,70,58.8%
9,さくら#9090,MID,1277,144,105,57.8%
10,senzawa#JP1,JUNGLE,1276,102,79,56.4%
11,ytzz#2426,ADC,1243,107,77,58.2%
12,Recap#125,MID,1238,171,127,57.4%
13,Sunflower#JP2,TOP,1217,125,52,70.6%
14,定风波#520,JUNGLE,1170,161,124,56.5%
15,白鶴仙童#MYZZ,JUNGLE,1152,158,97,62.0%
16,RuneFactoryが大好きね#BlauR,ADC,1148,128,85,60.1%
17,潔世一#Majin,ADC,1132,79,48,62.2%
18,I Am AtomiK#シャドウ,JUNGLE,1130,188,171,52.4%
19,ωNαNαω#404ad,ADC,1129,106,87,54.9%
20,akaros#そらか,SUP,1128,86,50,63.2%
21,Melody#I L,JUNGLE,1122,229,189,54.8%
22,ユーハイ#045,ADC,1109,209,130,61.7%
23,くるみかん#123,JUNGLE,1108,224,190,54.1%
24,Dopaminw#OUI,JUNGLE,1091,188,152,55.3%
25,Eugeo#DCWIN,MID,1087,82,44,65.1%
26,しゅんた1106#JP1,TOP,1083,130,126,50.8%
27,Enty#ENTP1,SUP,1069,203,165,55.2%
28,china đoóc#2302,JUNGLE,1068,106,89,54.4%
29,學無止境#Only,MID,1068,80,36,69.0%
30,ねすてぃー#7777,JUNGLE,1052,96,67,58.9%
31,always#inori,ADC,1042,96,70,57.8%
32,本間心鈴#美しい虚無,SUP,1042,85,54,61.2%
33,泳ぎたいたい焼き#JP1,SUP,1035,74,48,60.7%
34,てぃんとん#1017,ADC,1032,96,69,58.2%
35,黄色のヨッシー#JP1,TOP,1029,108,82,56.8%
36,jisoo#bp777,ADC,1024,101,62,62.0%
37,すやひめ#15ff,JUNGLE,1020,79,62,56.0%
38,白雪ひな#JP16,MID,1016,107,79,57.5%
39,Yuhi#045,ADC,1016,87,65,57.2%
40,負けない人生負けない気持ち#061i,ADC,1014,163,154,51.4%
41,大小姐驾到#Molly,JUNGLE,1014,117,66,63.9%
42,namazun#JP1,ADC,1012,72,44,62.1%
43,GraceEye#DMC神台,MID,1011,85,59,59.0%
44,Tele#JP1,ADC,1010,135,101,57.2%
45,szerzno#bomba,SUP,1008,138,113,55.0%
46,Hide on spi#spi,MID,1007,138,96,59.0%
47,初心者#0105,TOP,1005,150,113,57.0%
48,天才剑修#巧克力,SUP,1003,102,66,60.7%
49,aspire#JINBU,MID,999,109,85,56.2%
50,,TOP,998,69,44,61.1%
